lemma,semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,car
āḫra-,onomatopoeic (< ai) from an interjection of pain *aH! (cf. Hitt. āi!),distress,pain,*áHreh2- ‘pain’,,,pain; state of painfullness,āḫra-; āḫraman-,āḫra- (CL),ārra- ‘pain (?)’Palaic sound change *-Hr- > -rr-,,,,
ala-,"separate, distant → foreign / alien → hostile → envious",enmity,envy; enmity,*al-o- ‘distant’,"PIE *al-, *ali- → PIE *al-o-, *ali̯-o","ME ellendish ‘foreign’ Lat alius ‘other’, Gk ἄλλος, proclitic adversative conjunction ἀλλά ‘but’, Arm. ayl (o-stem) ‘other, different’ , Ved. arí, aryá-, áraṇa- ‘alien, remote’.","enmity; envious person, covetousness; to become envious, covet, enemy force","/alan(na)-/, á-lá/í-na- ; alanna/i- /aliwann(i)-, alunn(i)-/, ali-wa/i-ní-; /(a)liwannid-/, (VIR2)ali-wa/i-ní-, /alunam(i)-/, (“COR”)á-la/i/u-na-ma-; /alunazza-(i)/, (COR)á-la/i/u-na-za from HL /ala-i/, see alienation; āla/i- ‘distant (?)’; /arla-/, ara/i-la- ‘pedestal, altar (?)’",,, *al(i)- ‘distant (?)’,,,*al- (?)
alalamniya-,haplology: *alala + lamniya- 'call out alala',distress,wail,*h3ór-/h3r-´,,"Arm. alalak 'cry, scream'; Gk ἄλαλά'cry aloud'",to sob loudly; to wail,"(“*476.*311”)a-li-ia- and (“*476”)LOCUS-li-ia- (R.Oreshko); Hieroglyphic Luwian /arla-/, ara/i-la- ‘pedestal, altar (?); CL *ārla(/i)- ‘place (?) /aru-/, á-ru ‘highly, in high measure’","alalamnai-, alalamniya- 'cry (loud), sob'",arū-/araw- ‘high’,ara- ‘estate’,*eru- ‘high’,,*arliš / *arĺiš 
ariya-,"ascent, rise → lifting of the spirit → joy, exaltation",joy,exaltation,*h3r̥-i̯é/ó- ‘to raise’; *h3ór-/h3r-´ ‘to arise’,*h3ér-/*h3r̥-´,"Ved. (prá) ārta ‘began to move’,  OAv. imp. uz-ārǝšuuā ‘move!, head off!’ , Gk. ὦρτο ‘arose, started up’ (?)Toch. B konj. ertär ‘may evoke’, Lat. orīrī ‘to rise, arise’, Umbr. urtu, ortom ‘emerged, arisen’ , OCS rasti, Russ. rastí ‘to grow’, Toch. A ar‑, Toch. B er- ‘to evoke, cause’",exultation (?),"/ariya-exultation /; /ari-(ti)/, PUGNUS-ri+i- ‘to raise’; āri-(ti) ‘to raise, stop, to carry’",ār-/er-(ḫi) ‘ to arrive’; arāi‑/‑i(ya)‑(ḫi),ariye/a- ‘to raise’ ,,"eri-(ti) ‘to raise, stop’; erije-(ti) - to rebel - 2220",,
aršaniya- ,"flow → overwhelming feeling → envy, anger (datsemshift.ru: to overflow → to get angry); flow → worry → irritation → anger → envy ",anger,envy,"*ars-ne/na-, *Hrs-n-h1-",*h1/3rs-ne-h1-ti/ *h1/3rs-n-h1-enti,"Av. arəšiiant- ‘envious’,  Skt. ī́rṣyant- ‘angry’",to envy; irritation and anger from envy,Luw. ar-ši-ma-na-al-li-ya-an ‘belonging to enviers’ ,"aršaniye/a-: aršanē- ‘to envy; be resentful’, LU2aršanattala- ‘envier’",,,,,
āššu-,good → favourable → dear,love,good,"PLuw *(h1)assk̂ā- ‘to love’ → azza-; PA*h1E(h1)s- ‘(to be) good, dear’","*h1ē̆su-, *h1e(h1)su- 'good'","Ved. sú adv. ‘well’ Av. hu- ‘well  OPers. u- well’, Gk. ἐύς adj. ‘good’, OIr. su-, so-, MW hy-, etc. ‘good, well’ Goth. swikns ‘pure, innocent’, ON sykn ‘innocent’ , Lith. sū́drus ‘thick, dense, solid, tight, (dial.) lush, fertile’ , OCS sŭ-dravŭ ‘healthy’, Russ. zdoróvyj","(to be) good, dear, to make good (?), in good faith (?), to make good (?) to cause to embrace (?)","*/ass-/āššu-/āššau-; /assunu(wa)-(i)/, a-su-nu  AMPLECTI-nú- ; HL /azza-/, á-za- /; AMPLECTI- ‘to love’","aššiye/a-/, SIG5-, assiyanu-; aššu-, SIG5-/assiyanu-",,"*as- asfãν , ašνo-(d) ",*ah- - 1312; asa-(ti) - 1309 †ahñta - 1937 asa-(ti) ‘to love’,,
damāšš-,"to press, to apply pressure physically → to press / put pressure on someone psychologically",enmity,oppression,*dmaHs-/*dm̥Hs- '1. to press (physically); 2. to oppress (psychologically)',*dm̥‑né/n‑h2‑,"Gr. ἐδάμασα ‘to tame’, OIr. damnaim ‘to tie up’, Skt. dāmyati ‘to tame’, Lat. domāre ‘to tame’",to oppress,damaš-,tamāšš-/tame/išš- ‘to (op)press’; damešḫai- ; tamas-,,,,,
duddu-,to be or act favorable towards → have mercy,mercy,mercy,*dhu-dheu̯- ‘to have mercy’ ,*dheu̯-,"Vedic dhvasrá- ‘supporter, one who favors’ , Latin faueō, ‘be favorably inclined towards, favor, approve’, Umbr fons ‘favorable’ (*fou̯-ni-). Iran *dauH ‘smear, rub (on)","benevolence, grace; to have mercy on (?)","duddunti, duddumišša; dudummani-",duddu-; duwaddu-,,,,,
dušk- ,"joy, happiness → amusement, entertainment",joy,happiness,*TusK-,*T(e)usK,,"happiness, joy",,"dušk-/tusk-/tuskiya- 'be happy; enjoy; rejoice; amuse, entertain'",,,,,
galank-,milk → poppy milk → drowsy → soothing,comfort,peace,*gl̥(n)ĝ-,*glo-n-ĝh-ei,"Gk. γάλα(κτ)-, γλάγος 'milk', Lat. lac(t)- 'milk', Vedic jálāṣa- 'soothing' , Lith. glẽžnas, ON kløkkr 'slack, tender' ",to calm down,,galank- / kalank-,,,,,
genzu-,internal body part (spleen) → seat of emotions → kindness,mercy,mercy,"?? *ĝenh1-su- (Kloekhorst, Rieken); *ĝems-u-/ĝens-u- (Laroche)",ĝenh1-,"Skt. jani ‘to procreate, Lat. ntus ‘born’, etc.; for the meaning ‘kindness’, cf. Lat. gentilis ‘gentle","kindness, mercy",,genzu-,,,,,
ḫaḫreske-,onomatopoeic: ha-ha,joy,laugh,"onomatopeia emerged possibly on Proto-Anatolian or even Proto-Hittite level, as there are no PIE cognates",,"Lat. hahae, cachinno, Gk. καχάζω, Skt. kakhati Arm. xaxanc, OHG. (huoch) ; Germ. (häher) , (heher) ; Eng. (cackle) Old Church Slavonic chochotati ""laugh,"" Lithuanian klagėti ""to cackle""",смеяться,,hahreške/a-; ḫaḫḫarš-,,,,,
ḫanḫaniya-,"bad → irritated, annoyed",distress,anxiety,*han- (*Hón-/Hn-),,,to be vexed; perturbed,"*/haniya-(i)/ 'malicious, redupl. */hanhaniya-(i)/ ; /haniyatt(a)-/, (“MALUS2”)ha-ní-ia-ta- ; /hanhaniwan-/, (“MALUS2”)ha-ha-ní-wa/i- ; GK ḫanḫaniya- '‘to be malicious’'",,,,,,
"ḫartu-",descendant → beloved,love,dear,*h3ór-/h3r-´ ‘to arise’ OR *h2redh- ‘to emerge’,"*h2r̥dhú, *h2redh- 'to emerge' , (Kloekhorst) *h3er-tu-","Balto-Slavic *rod'īti, Lat. ortus ‘birth’","dear, beloved (?)","/hartuwi(ya)-/, “*187”-tu-wa/i-i-  from hartu- 'descendant'; /hartu-/, (INFANS)ha+ra/i-tu- ‘descendant, clan’","ḫartu- ‘offspring, descendance’",,,,,
ḫatuk-,"to be crazed with fear, to be terrified, to hate → to be terrified → terror → terrifying, fearsome, formidable",fear,terror,*h2tug-,*h2teu̯g-,"Gk. (pres) *ὀδύσσoμαι 'be wroth' (Одиссей) , Lat. odium 'hatred', Arm. ateam 'I hate', OB atol, ON atall 'fierce, terrible","horror; terror, terrified, terrifying",,ḫatuk-,,,,,
ḫurtai-,"to speak with gravity, loudly → to swear → to give a false oath",enmity,curse,"*h2ēru̯o- 'oath', *h1r̥h1-i̯é/ó- ",*h2er-,,curse,"ḫīrūtaniya-(ti) ‘to swear, commit perjury’;  /hirud-/, (“*476”)hi-ru-tà- ‘curse, false oath (?)’; CL ḫīrūn/t- ‘(false) oath’",ḫurtai-; hu(wa)rt-; CL ḫīruta- ‘(false) oath’,,"irdu- ‘oath (?)’ -- hapax, an arrangement that someone can decree for someone else",,,
ḫuwāi-,"take care of a tomb → show respect (to cause to be thriving → to hand over in a thriving state → to hand over reverently, with care)",love,respect,"Yakubovich 2022 (JLR): *χwisr-; or *kʷisr- ‘(welfare, thriving, good state)’ → causative verb *kʷisr-ey(o)- ‘to make thrive, take care (of)’); *PA *traw- ‘to pass, hand over’; (Lydian innovation built on PA pieces): PA compound *kʷisr-traw- ‘to hand over in good/thriving state’ (→ ‘hand over reverently/with care’) ",,,to take care of a tomb = show respect,,"Hitt. ḫuwāi-/ḫuiya- (i) ‘to move’ and HL hwiya- ‘id.’ are formally suitable as cognates of Lyd. *qi-šr (Yakub. 2022, JLR)",,"qišre-(d) ‘to take care (?)’, qištori-  ‘to hand over with care (?)’",,,
