concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
"J.Puhvel: field (curve line between valleys) → battle field → battle → agression; E.Rieken: UNKNOWN SOURCE → anger, hostility",anger,be agressive; pick a fight,PA *kop-í-lo-, PIE *kop-/*kap-????,"Skt. šap- ‘to scold, to curse ( Айхнер)  но не соотносится с лувийским","враждебный to anger?, irritate?, pick a fight?","kapilali- ""enemy"" (HL); kappilazza- ‘to become hostile’ (CL)","kappilā(i/e)-, kappila- 'pick a fight'; kappilahh- 'get in a fight'; kappilali- 'prone to fight, aggressive' ; kappi- 'small, lessen, diminish' (Puhvel HED k:61-63)",,,,,,,,"*kamp- as in Lat. campus 'field' > OHG kampf 'joust, fight' (Puhvel HED K:65); Eichner (1979a: 61)suggest comparison with Skt. šap- ‘to scold, to curse’ < *ḱep-, but this should have yielded Luw. **zapp- (see Kloekhorst 2008:439). See also Gk. κάμπτο< *καμπ-ιω 'bend', cf. Hitt. kappi- 'small, lessen, diminish'   ",3 акадский латынь санскрит
be sick → be in anger ,anger,anger,, PIE *seh2i-ti,"Lat. saevus ‘wild, furious, ferocious’,  Goth. sair, OHG sr ‘pain’.",to be angry,,"šā(i/e)-, šānt-, šā(u)war Neumann: ?šā(i)- ‘to become sullen, to be angry’; Melchert: ?",,,,,,,,,
"go up the stairs → escalate, get tension up → be angry",anger,anger,PA*ela(n)-/*ila(n)- + reduplication,,Gk. ελαω- 'drive; harass,злость,,lēlaniya-,,,,,,,,"Puhvel: HED L:80-81 lelaniya-: reduplication of HED E-I:268-269 elaniya- ""escalate, drive"" (comparison with Gk. ελαω- 'drive; harass'). A.Kassian (pers.comm.) writes: ""If a basic sense of elaniya is 'to escalate', perhaps denominative from ila(n)-; ilan-iya HED E-I: 357 - stairs, ladder""",5 для- to lift-to increase
"flow → overwhelming feeling → envy, anger (datsemshift.ru: to overflow → to get angry); flow → worry → irritation → anger → envy ",anger,envy,PA *ars-ne/na- *Hrs-n-h1-.,PIE *h1/3rs-ne-h1-ti / *h1/3rs-n-h1-enti ,"Av. arəšiiant- ‘envious’, araska- ‘envy‘ Skt. ī́rṣyant- ‘angry’, irasyáti ","обида, обиженный; зависть, завистливый; раздражение и злость от зависти",Luw. ar-ši-ma-na-al-li-ya-an ‘belonging to enviers’ ,aršan(iye/a)-,,,,,,,,"A.Kloekhorst (EDHIL: 210) reconstructs PIE form for aršaniye/a- as *h1/3rs-ne-h1-ti / *h1/3rs-n-h1-enti, basing on Skt. ī́rṣyant- ‘angry’, irasyáti ‘to be angry’, Av. arəšiiant- ‘envious’, araska- ‘envy‘. (HED A: 173) points at possible parallel with Toch.A rse 'hate’. I.Yakubovich (ACLT) suggests including here Luw. ar-ši-ma-na-al-li-ya-an ‘belonging to enviers’ (ACLT; see also eDiAna, where this lexeme appears in context as a hapax in a list of merisms, and the meaning remains unclear).Иванов 149: Педерсен : карашарское arsal -ядовитая змея aršiye/a-(mi) ",2 for  to overflow --> to get angry
eat → entrails eaten up → to be bad → to be angry  ,anger,evil,"PA *edwal (Laroche, HED E-I:493); *h1edu̯ol- ‘evilness’, *h1edu̯o- 'evil' (EDHIL:421)",PIE *h1ed- ‘bite (> eat),"Arm. erkn, ‘labour pains’, Gr.‘pain’ and OIr. idu ",evil; malice evilness; viciousness; sometimes anger (!),"adduwali(ya)-; /attuwal-/, MALUS-la/i-; /attuwalahid-/, MALUS-la/i-hi-tà-; /attuwalastarr(i)-/, MALUS-la/i-sa-tara/i HLuw. átuwa- (n.) ‘evil’ (nom.-acc.sg /atuwan=tsa/ MALUS-wa/i-za- ́ (TELL AHMAR 1 §19, TELL","idālu- ‘evil, bad’, ḪUL ",,?itala- 'evil' (HED E-I:492),,,,,,"  root *h1ed- ‘bite (> eat)’Arm. erkn, ‘labour pains’, Gr. /04 ‘pain’ and OIr. idu ‘pain’.Kortlandt 1989b: 50convincingly argues that these latter three words cannot be cognate to one another (Arm. erkn belongs with erk ‘toil’ ~ OHG furhten (Kortlandt 1976: 98), Gr. /04reflects *h3ed- and OIr. idu ~ Goth. fita ‘to have labour pains’) and that therefore the reconstruction of a noun *h1edun ‘pain’ is unfounded. Rasmussen (1984: 144-57,taken over by Adams 1999: 513) connects TochB yolo ‘bad, evil’ with the Anatolian forms","3в т. ч аккадский есть-разрушать, 2 для есть - страдать"
Hitt. and PIE heart → be angry; Luw. heart → wish for,anger,feel with the whole heart,PA *k̑erd-im-e/o-,"PIE *k̑ḗr, k̑érd- / *k̑r̥d- ","Ved. hŕ̥d- n. ‘heart’ (nom./acc. sg. hā́rdi, gen. sg. hr̥dás, dat. sg. hr̥dé, loc. pl. hr̥tsú, etc. [RV+]), su-hā́rd- adj. ‘having a good heart, friendly’ (AV+), sarva-hr̥dā́ instr. sg. ‘wholehearted’ (RV 10.160.3); cf. also hŕ̥daya- n. ‘heart’ (RV+), hŕ̥dya- adj. ‘cordial, beloved’ (RV+). – OAv. zərəd- n. ‘heart’ (instr. sg. zərədā-cā [Y 31.12]), YAv. zərəδaiia- n. ‘heart’ [+] Gk. κῆρ n. ‘heart’, dat. sg. κῆρι, κηρόθι adv. ‘with all the heart, heartily’ (Il.+), ἀ-κήριος adj. ‘without heart, lifeless, discouraged’; καρδία, Ion. καρδίη, ep. κραδίη f. ‘heart’ (Il.+) Arm. sirt ‘heart’ (i-stem: gen./dat. sg. srt-i, instr. sg. srt-i-w, gen./dat. pl. srt-i-c‘, etc.) Lat. cor, gen. sg. cordis n. ‘heart, spirit, soul’ (Enn.+); con-cors adj. ‘agreeing, harmonious’ (Naev.+), dis-cors ‘disagreeing’ (Cic.+), etc. [+]OIr. cride n. ‘heart, middle, love’ Goth. haírto n. ‘heart’, ON hjarta n. ‘id.’, OS herta n. ‘id.’, OHG herza n. ‘id.’, etc. OPr. seyr n. ‘heart’; Lith. širdìs f. ‘id.’, šerdìs f. ‘core, kernel, pith’; Latv. sir̂ds f. ‘heart, courage, wrath’ [+] OCS srŭdĭce n. ‘heart’, Russ. sérdce n. ‘id.’, Pol. serce n. ‘id.’, SCr. sȑce n. ‘id.’, etc.; OCS srěda f. ‘middle, community, Wednesday’, Russ. seredá f. (obs.) ‘Wednesday’, SCr. srijèda f. ‘id.’, etc. [+] TochA kri ‘will’, TochB käryāñ nom. pl. ‘hearts",злиться; NB! в лувийском развитие в сторону желать!,"/zart-/, za+ra/i- ‘heart’ (HL); zārt- ‘heart’ (CL); /zartiya-/, (COR)za+ra/i-ti-ia- ‘wish’ (HL)",kardimmi(ye/a)-злиться,kārti- ‘heart’,,,,,,,"Read paper on etymology, PIE heart --> be angry is a common shift for many IE languages, есть ли когнаты в анатолийских языках??? Rieken (1999a: 110-111): the root *ḱerd- ‘heart’ served as the basis for a verb *ḱerd-e/o- ‘to be angry’. Of this *ḱerd-e/o- a -men- derivation *ḱerd-i-men- ‘anger’ is formed, of which another verb in *e/o- is derived: *ḱerd-i-mn-e/o-, which regularly yielded Hitt. kartimmie-.
PAna *k̑ḗr, k̑érd- / *k̑r̥d-´ ‘heart’. Иванов 197",
"???? to grumble, to shout, to make unpleasant noises → to be angry",anger,anger action,PA *k̑erP,PIE *k̑r̥p-,"Lat. increpāre ‘to shout out, to upbraid’, Skt. kr̥pate ‘to lament’,
Russ. kropotá ‘conflict, fight’ Gk καrxαλιiμos , 'swift, impetuous'.", злиться,"CLuw. zarpa/i- ‘to brush, scrape (?) but Tischler, denotes “jedenfalls ein Übel, das den Menschen befällt”. If this semantic field of zarpa/i- indeed is accurate, a connection with Hitt. karpi-, which particularly denotes ‘divine wrath’, is indeed possible.’ ( Клукхорст) ; CL zarp(i)- ‘one of the evils that befall the head goes back to Meriggi 1957 , но Едиана (Якубович) не согласны, считая что это какая-то часть головы . Сассвиль - борода ’;zarp(i)- ‘(part of the bed)’","karpi(ye/a)-‘to be angry’:; karpi- ""divine wrath""karpiwala- 'furious',",,,,,,,,"(Puhvel HED K:98) compares with other IE languages, see the paper. Tischler (HEG A-K: 515) connects karpi- with CLuw. zarpa/i- that, according to Tischler, denotes “jedenfalls ein Übel, das den Menschen befällt”. If this semantic field of zarpa/i- indeed is accurate, a connection with Hitt. karpi-, which particularly denotes ‘divine wrath’, is indeed possible. On the basis of Hitt. karp- and Luw. zarp- we should reconstruct PAnat. *ḱrp-. Sassville (ediana): ""The Luwian noun zarp(i)- c., which represents a part of the head, and most probably the beard, could be traced back to a Proto-Anatolian root *k̑erP- or *zerP- (PAnat. initial *z- from palatalization of many PIE Ci̯-sequences).""",
get swallen → be angry,anger,anger,,PIE *su̯elH-to swell,"Norv. svella to swell, Eng. swell. Lat. īnsolēscō, ",be angry/ arrogant,,"šulle-; šullai-, šallakartae- высокомерный šullēzi ‘to be arrogant’ šullatar / šullann- (n.) with the meaning ‘a swelling state’ (in 
figurative meaning, ‘unjustifiable arrogance’(:)šallakartae-,",,,,,,,,"Molina Indo-European correspondences include Norv. svella ‘to swell’, Eng. swell with the same meaning, and Lat. īnsolēscō ‘to become arrogant’, on the basis of which (EDHIL 778f) reconstructs a Proto-Indo-European suffixal form *sulH-eh1-. According to (Melchert 2004), the development of an emotional meaning here is comparatively late, since remnants of the meaning 'swollen' can already be traced in Hittite (i.e. the trilingual KUB 4.4 obv. 2–9). The same semantical transition to the meaning of arrogance in Latin, therefore, is a parallel process. Melchert PIE *suelH- ‘to swell’.","5, например в русском -дуться , в сербском надимати се од гнева "
be fat → be happy,comfort,abundance,"PA *sū- , *sóu̯h3-/suh3-´.",,,"completeness; fullness, rich, filled, be(come) full","/su(wa)hid-/, (MANUS)su-hi-; šuwātar ‘fullness’; /suwa-(i)?/, su-wa/i- ‘to fill’ , /suhhappanant(i)-/, (“SCALPRUM.ARGENTUM”)su-ha-pa-na-; /su-/, (MANUS)su- ‘full, complete’, */sun(na)-/ ‘to fill’; šunnuwant(i)- '‘filled, rich (?)’; CL *šunn(a)- ‘to fill’","šuwaru-, šuwāru- 'mighty, strong; bridge; happiness' ????; (CL) šūwatar/-tn- ‘storage vessel’, šunna-/šunn-(ḫi) ‘to fill’, šūu- ‘full’","šūna- ‘to fill’, šūšte -be(come) full!’",,huwedre/i- ‘all’ (from ‘belonging to fullness’),"uwedre/i- ‘all, each’ (borrowing from Lyc. A)",,,,,
fill up → be content,comfort,abundance,PA *HEs-(K)- ,"PIE *h2/3es-, PIE *seh2- ",,"satiety, abundance","ḫašiya- ‘to satiate, quench thirst ","ḫaššikk-(mi) ‘to satiate (one’s thirst)’, also metaphorically","ḫaš- ‘to satiate, quench one’s thirst’",,,*xes- ‘to quench one’s thirst’,,,,"PAna *HEs-(K)- ‘to quench one’s thirst’; PIE *h2/3es- is reconstructable as ‘to satiate (one’s hunger or thirst)’ According to Klingenschmitt 1994a:242f., the root underlying Pal. ḫaš- ‘to satiate (one’s hunger or thirst)’ etc. may also be attested in Lat. inānis ‘empty (also of the stomach)’. Lat. inānis ‘empty’ would then go back to ‘not satiated, hungry’. While such a semantic development is reasonable, this connection is at least phonologically doubtful. This root could be further connected with PIE *seh2- ‘to become sated’ (LIV²:520f.). A root extension in *‑eh2‑ (cf., e.g., PAnat. *dmaH-s- ‘to (op)press’) and dissimilatory loss of the anlauting *h2-, viz. *h2es- → *h2s‑eh2- > *seh2‑, is proposed, e.g., by Eichner 2010a:40 n. 3, cf. Ragot 2009a, esp. 235f. following Palmer 1959a:132f.",
