semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
"J.Puhvel: field (curve line between valleys) → battle field → battle → agression; E.Rieken: UNKNOWN SOURCE → anger, hostility",anger,be agressive; pick a fight,*kop-í-lo-,*kop-/*kap-,"Skt. šap- ‘to scold, to curse (Eichner); this correlation, however, does not fit Luwian data","hostile; to anger?, irritate?, pick a fight?","kapilali- ""enemy"" (HL); kappilazza- ‘to become hostile’ (CL)","kappilā(i/e)-, kappila- 'pick a fight'; kappilahh- 'get in a fight'; kappilali- 'prone to fight, aggressive' ; kappi- 'small, lessen, diminish' (Puhvel HED k:61-63)",,,,,,,,"*kamp- as in Lat. campus 'field' > OHG kampf 'joust, fight'. Puhvel (HED K:65); Eichner (1979a: 61) suggest comparison with Skt. šap- ‘to scold, to curse’ < *ḱep-, but this should have yielded Luw. **zapp- (see Kloekhorst 2008:439). See also Gk. κάμπτο< *καμπ-ιω 'bend', cf. Hitt. kappi- 'small, lessen, diminish'."
be sick → be in anger,anger,anger,,*seh2i-ti,"Lat. saevus ‘wild, furious, ferocious’,  Goth. sair, OHG sr ‘pain’.",to be angry,,"šā(i/e)-, šānt-, šā(u)war Neumann: ?šā(i)- ‘to become sullen, to be angry’; Melchert: ?",,,,,,,,
"go up the stairs → escalate, get tension up → be angry",anger,anger,*ela(n)-/*ila(n)- + reduplication,,Gk. ελαω- 'drive; harass,anger,,lēlaniya-,,,,,,,,"Puhvel (HED L:80-81): lelaniya- is a reduplication of HED E-I:268-269 elaniya- 'escalate, drive' (comparison with Gk. ελαω- 'drive; harass'). A.Kassian (pers.comm.) writes: ""If a basic sense of elaniya is 'to escalate', perhaps denominative from ila(n)-; ilan-iya HED E-I: 357 - stairs, ladder"""
"flow → overwhelming feeling → envy, anger (datsemshift.ru: to overflow → to get angry); flow → worry → irritation → anger → envy",anger,envy,"*ars-ne/na-, *Hrs-n-h1-","*H(1-3)rs-ne-h1-ti, *H(1-3)rs-n-h1-enti ","Av. arəšiiant- ‘envious’, araska- ‘envy‘ Skt. ī́rṣyant- ‘angry’, irasyáti ","offense, offended; envy, envious; irritation and anger from envy",Luw. ar-ši-ma-na-al-li-ya-an ‘belonging to enviers’,aršan(iye/a)-,,,,,,,,"Kloekhorst (EDHIL: 210) reconstructs PIE form for aršaniye/a- as *h1/3rs-ne-h1-ti / *h1/3rs-n-h1-enti, basing on Skt. ī́rṣyant- ‘angry’, irasyáti ‘to be angry’, Av. arəšiiant- ‘envious’, araska- ‘envy‘. (HED A: 173) points at possible parallel with Toch.A rse 'hate’. I.Yakubovich (ACLT) suggests including here Luw. ar-ši-ma-na-al-li-ya-an ‘belonging to enviers’ (ACLT; see also eDiAna, where this lexeme appears in context as a hapax in a list of merisms, and the meaning remains unclear)."
eat → entrails eaten up → to be bad → to be angry,anger,evil,"*edwal (Laroche, HED E-I:493); *h1edu̯ol- ‘evilness’, *h1edu̯o- 'evil' (EDHIL:421)",*h1ed- ‘bite (→ eat)',"Arm. erkn, ‘labour pains’, Gr.‘pain’ and OIr. idu ",evil; malice evilness; viciousness; sometimes anger,"adduwali(ya)-; /attuwal-/, MALUS-la/i-; /attuwalahid-/, MALUS-la/i-hi-tà-; /attuwalastarr(i)-/, MALUS-la/i-sa-tara/i HLuw. átuwa- (n.) ‘evil’ (nom.-acc.sg /atuwan=tsa/ MALUS-wa/i-za- ́ (TELL AHMAR 1 §19, TELL","idālu- ‘evil, bad’, ḪUL ",,?itala- 'evil' (HED E-I:492),,,,,,"Root *h1ed- ‘bite (> eat)’, Arm. erkn, ‘labour pains’, Gr. /04 ‘pain’ and OIr. idu ‘pain’. Kortlandt (1989:50) convincingly argues that these latter three words cannot be cognate to one another (Arm. erkn belongs with erk ‘toil’ ~ OHG furhten (Kortlandt 1976: 98), Gr. /04 reflects *h3ed- and OIr. idu ~ Goth. fita ‘to have labour pains’) and that therefore the reconstruction of a noun *h1edun ‘pain’ is unfounded. Rasmussen (1984: 144-57, taken over by Adams 1999:513) connects TochB yolo ‘bad, evil’ with the Anatolian forms."
Hitt. and PIE heart → be angry; Luw. heart → wish for,anger,feel with the whole heart,*k̑erd-im-e/o-,"*k̑ḗr, k̑érd-, *k̑r̥d- ","Ved. hŕ̥d- n. ‘heart’ (nom./acc. sg. hā́rdi, gen. sg. hr̥dás, dat. sg. hr̥dé, loc. pl. hr̥tsú, etc. [RV+]), su-hā́rd- adj. ‘having a good heart, friendly’ (AV+), sarva-hr̥dā́ instr. sg. ‘wholehearted’ (RV 10.160.3); cf. also hŕ̥daya- n. ‘heart’ (RV+), hŕ̥dya- adj. ‘cordial, beloved’ (RV+). – OAv. zərəd- n. ‘heart’ (instr. sg. zərədā-cā [Y 31.12]), YAv. zərəδaiia- n. ‘heart’ [+] Gk. κῆρ n. ‘heart’, dat. sg. κῆρι, κηρόθι adv. ‘with all the heart, heartily’ (Il.+), ἀ-κήριος adj. ‘without heart, lifeless, discouraged’; καρδία, Ion. καρδίη, ep. κραδίη f. ‘heart’ (Il.+) Arm. sirt ‘heart’ (i-stem: gen./dat. sg. srt-i, instr. sg. srt-i-w, gen./dat. pl. srt-i-c‘, etc.) Lat. cor, gen. sg. cordis n. ‘heart, spirit, soul’ (Enn.+); con-cors adj. ‘agreeing, harmonious’ (Naev.+), dis-cors ‘disagreeing’ (Cic.+), etc. [+]OIr. cride n. ‘heart, middle, love’ Goth. haírto n. ‘heart’, ON hjarta n. ‘id.’, OS herta n. ‘id.’, OHG herza n. ‘id.’, etc. OPr. seyr n. ‘heart’; Lith. širdìs f. ‘id.’, šerdìs f. ‘core, kernel, pith’; Latv. sir̂ds f. ‘heart, courage, wrath’ [+] OCS srŭdĭce n. ‘heart’, Russ. sérdce n. ‘id.’, Pol. serce n. ‘id.’, SCr. sȑce n. ‘id.’, etc.; OCS srěda f. ‘middle, community, Wednesday’, Russ. seredá f. (obs.) ‘Wednesday’, SCr. srijèda f. ‘id.’, etc. [+] TochA kri ‘will’, TochB käryāñ nom. pl. ‘hearts","to be angry; NB! in Luwian semantic shift to the meaning 'to wish', not 'to be angry'","/zart-/, za+ra/i- ‘heart’ (HL); zārt- ‘heart’ (CL); /zartiya-/, (COR)za+ra/i-ti-ia- ‘wish’ (HL)",kardimmi(ye/a)- be angry,kārti- ‘heart’,,,,,,,"The shift 'heart → be angry' is a common shift for many IE languages. Rieken (1999:110-111): the root *ḱerd- ‘heart’ served as the basis for a verb *ḱerd-e/o- ‘to be angry’. Of this *ḱerd-e/o- a -men- derivation *ḱerd-i-men- ‘anger’ is formed, of which another verb in *e/o- is derived: *ḱerd-i-mn-e/o-, which regularly yielded Hitt. kartimmie-. PAna *k̑ḗr, k̑érd- / *k̑r̥d-´ ‘heart’."
"to grumble, to shout, to make unpleasant noises → to be angry",anger,anger action,*k̑erP,*k̑r̥p-,"Lat. increpāre ‘to shout out, to upbraid’, Skt. kr̥pate ‘to lament’, Russ. kropotá ‘conflict, fight’ Gk καrxαλιiμos , 'swift, impetuous'",to be angry,"CLuw. zarpa/i- ‘to brush, scrape (?) but Tischler, denotes “jedenfalls ein Übel, das den Menschen befällt”. If this semantic field of zarpa/i- indeed is accurate, a connection with Hitt. karpi-, which particularly denotes ‘divine wrath’, is indeed possible.’ ( Клукхорст) ; CL zarp(i)- ‘one of the evils that befall the head goes back to Meriggi 1957 , но Едиана (Якубович) не согласны, считая что это какая-то часть головы . Сассвиль - борода ’;zarp(i)- ‘(part of the bed)’",karpi(ye/a)- ‘to be angry’; karpi- 'divine wrath'; karpiwala- 'furious',,,,,,,,"Puhvel (HED K:98) compares with other IE languages. Tischler (HEG A-K: 515) connects karpi- with CLuw. zarpa/i- that, according to Tischler, denotes “jedenfalls ein Übel, das den Menschen befällt”. If this semantic field of zarpa/i- indeed is accurate, a connection with Hitt. karpi-, which particularly denotes ‘divine wrath’, is indeed possible. On the basis of Hitt. karp- and Luw. zarp- we should reconstruct PAnat. *ḱrp-. Sassville (eDiAna): ""The Luwian noun zarp(i)- c., which represents a part of the head, and most probably the beard, could be traced back to a Proto-Anatolian root *k̑erP- or *zerP- (PAnat. initial *z- from palatalization of many PIE Ci̯-sequences)."""
get swallen → be angry,anger,anger,,*su̯elH-to swell,"Norv. svella to swell, Eng. swell. Lat. īnsolēscō",to be angry or arrogant,,"šulle-; šullai-,  šullēzi ‘to be arrogant’; šullatar, šullann- (n.) with the meaning; ‘a swelling state’ (in figurative meaning), ‘unjustifiable arrogance’ (:)šallakartae-",,,,,,,,"Molina: Indo-European correspondences include Norv. svella ‘to swell’, Eng. swell with the same meaning, and Lat. īnsolēscō ‘to become arrogant’, on the basis of which (EDHIL 778f) reconstructs a Proto-Indo-European suffixal form *sulH-eh1-. According to Melchert (2004), the development of an emotional meaning here is comparatively late, since remnants of the meaning 'swollen' can already be traced in Hittite (i.e. the trilingual KUB 4.4 obv. 2–9). The same semantical transition to the meaning of arrogance in Latin, therefore, is a parallel process. Melchert PIE *suelH- ‘to swell’."
drop → humidity → steam → smell → pleasant smell → pleasant → soothing,comfort,appeasement,*h1u̯ors-o-,"*h1u̯érs-s, *h1u̯érs-m̥, *h1u̯r̥s-ós","Skt. varṣá- ‘rain, Gr. ἐέρση ‘dew’",to appease (with pleasant aroma) (or sim.?),aršulāi-zi ‘to appease (with pleasant aroma) (or sim.?)’,"(GK) arsulai-; a similar verb *waršulāi-zi ‘appease’ (or sim.); waršula- ‘drop, humidity’, which is also attested with a secondary meaning ‘pleasant (appeasing) aroma’; warsiya- to appease (успокаивать); warsul- “calming” from wars(iya)- “to be satisfied”; a denominative warsulai- “to satisfy, set at ease”; waršiyatar (c.) ‘reconciliation(?)’: warša- (c.) ‘fog, mist’: ",,,,,,,,"Kloekhorst: comparison with Skt. varṣá- ‘rain’ and Gr. ἐέρση ‘dew’; PIE *h1u̯érs-s, *h1u̯érs-m, *h1u̯rs-ós; Tischler (HEG W): warsula- c. (hardly also warsul- n., l-stem) “drop; moisture, sweat,” and then the corresponding smell, namely on the one hand “(pleasant, sweet, anger-soothing) fragrance,” on the other hand “stench.” In HW (274), Friedrich translates this word as “Besänftigung, Beruhigung” and “Erfrischung” but adjusts this to “Tropfen; Saft; Duft” in HW Erg. 3: 36 (on the basis of Laroche 1963: 61), stating that, when used with eku-zi ‘to drink’, aršuli means “(im Tropfen), tropfenweise”. Güterbock (1986: 212) proposes to translate aršula- as ‘smell’, and states that “arsuli ekuzi should be translated “he drinks in the smell” and refers to “drinking the god” only by sniffing the aroma of the wine”. This translation, ‘smell, odor’, is taken over in CHD (e.g. the third context cited here is translated in CHD Š: 176 as ‘let the fragrant odor, (namely) the cedar and the oil summon you’). This works also fine for e.g."
"attractive ← excellent ← outstanding ← standing apart, cf. Fr. adv. à part ‘to one side, separate, aside’ → ModE adv. apart ‘id.’ vs. ModHG adv. or adj. apart ‘unusual, elegant, attractive’",love,good,*sEn(H)- ‘good (vel sim.)’,*sn̥ ‘apart; without’,"Ved. sanutár ‘apart’ (RV+), (?)sanitúr ‘id.’ (RV), sā́nu- sbst. ‘back’, OAv. hanarǝ (+abl.) ‘without’ , Gk. ἄνευ (+ gen.) ‘without’ (Il.+); Gk. ἄτερ (+ gen.) ‘without, apart from’ (Il.+) Lat. sine (+ abl.) ‘without’ (Plaut.+), PCelt. *sani‑, cf. OIr. sain ‘different’, OW han ‘(Lat.) alium, different; (prep.) of, from’, Goth. sundro ‘alone, apart’, ON sundr ‘asunder’, OE sundor ‘alone, apart’, OHG suntar ‘remote, separate, etc., TochA sne, TochB snai (+ obl.) ‘without’",well; good; to become good; goodness (slowly pushes away wassu- in Luwian),"san(n)awi, sa-na-wa; san(n)awiya-, sa-na-wa/i-ia-; san(n)awistarr(i)-, sa-na-wa/i-sa-tara/i-; san(n)awizza(/i)-?, sa-na-wa/i-za-",šanezzi- ‘excellent’; best,,sana- ‘(unknown)’,,,,,,"https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=1740 : Proto-Anatolian root *sEn(H)- with the semantics of ‘good’; Yakubovich: HLuw. /san(n)awi-/ might be a compound consisting of */san(n)-/ ‘well’ + /awi-/ ‘to come’, i.e. ‘well-come. IE etymology talks about semantics of ""alone, without"" --> to single out, set apart, isolate. D.S.: ‘excellent’ < ‘outstanding’ < ‘standing apart'/ Phonologically, especially Gk. ἄτερ ‘without’ speaks in favor of an aniṭ base *sen(‑), while PAnat. *sn̥‑nÉ‑H‑/*sn̥‑n‑H‑´ ‘to hide, conceal’ requires a laryngeal. There are various ways to explain the shape of this verb: it is either a factitive nasal present built on an adverb *sen‑h1 ‘apart’, [+] viz. *sn̥-nó-h1‑/*sn̥‑n‑h1- ‘to make apart’ [+] or, according to LIPP II:714, it has to be interpreted as a “praesens departiculativum”, viz. *sń̥h2o- derived from the univerbation *sn̥=h2o “(auch) ohne” ← *sen ‘apart’ + 2.*=h2o ‘also; and’ (LIPP II:334–345). [+] Although the problems regarding the phonological reconstruction of PAnat. *sn̥‑nÉ‑H‑/*sn̥‑n‑H‑´ ‘to hide, conceal’ cannot be solved yet, the underlying basis is reconstructable as a local adverb PIE *sen ‘apart’. [+]"
